feature,RF,AdaBoost,LR
inflight_wifi_service,15.680147855945513,36.841642243238155,3.9547590708566145
type_of_travel_Personal Travel,13.324601134622426,6.794836659543988,27.501392548752925
online_boarding,20.164186687650357,14.070197000947484,6.114062034429358
customer_type_disloyal Customer,3.9609475310012328,5.221497107623923,20.63087446702099
class_Eco,9.226392224618744,3.4602407409743594,7.503838346402008
inflight_entertainment,6.794101088288422,5.628893333689719,0.6618668215950352
class_Eco Plus,0.5326384789214547,2.009272669515277,8.634780142259359
leg_room_service,3.4655316554536313,4.037156797566664,2.5212841300765967
seat_comfort,5.897151600304469,2.2015401730359594,0.6827034580391026
checkin_service,1.4109934022750261,3.8566535415727445,3.2249961036122077
on-board_service,3.130838515104789,1.5048425767844955,3.016893323648063
ease_of_online_booking,3.977133078985689,1.6364031419096723,1.4119188804331215
cleanliness,2.3032607688212066,2.020204978522428,2.2161022830364816
arrival_delayed_flag_1,0.1296730940285667,1.1674156668973759,4.981851992033182
baggage_handling,1.7677521278104604,2.2678162928578787,1.3223314466629377
inflight_service,1.692971589327792,2.3283122057075856,1.243686011249293
age,1.5608791631115095,2.2120662183115853,1.259436788756628
departure/arrival_time_convenient,0.9047690698862034,2.1261493542783705,1.2492840539267882
flight_distance,2.343060665705889,0.0,0.17358579030929594
gate_location,0.5268319197909854,0.6148592970223248,0.2741818216497101
food_and_drink,0.7895009229259823,0.0,0.2735736925177268
departure_delay_in_minutes,0.2535360250991561,0.0,0.7204396126527676
gender_Male,0.16310140032048615,0.0,0.42615718007982484
